species	n	tyrDC_present	prevalence_pct	wilson_lo	wilson_hi	score_pct_range	near_cutoff	GH_median	GH_min	GH_max
Enterococcus faecium	200	200	100.0	98.1	100.0	93.0-93.0	0	25	20	29
Enterococcus faecalis	201	194	96.5	93.0	98.3	99.8-100.0	0	27	22	29
Levilactobacillus brevis	200	166	83.0	77.2	87.6	68.4-96.1	0	15	11	21
Latilactobacillus curvatus	117	41	35.0	27.0	44.0	61.5-88.3	0	9	6	17
Limosilactobacillus reuteri	200	28	14.0	9.9	19.5	71.4-77.1	0	12	9	16
Pediococcus pentosaceus	200	4	2.0	0.8	5.0	61.5-62.0	0	12	9	15
Bifidobacterium longum	200	0	0.0	0.0	1.9		0	27	18	33
Lactococcus lactis	200	0	0.0	0.0	1.9		0	20	13	27
Ligilactobacillus salivarius	200	0	0.0	0.0	1.9		0	10	7	13
Limosilactobacillus fermentum	200	0	0.0	0.0	1.9		0	9	5	14
Lacticaseibacillus rhamnosus	200	0	0.0	0.0	1.9		0	23	18	27
Streptococcus thermophilus	200	0	0.0	0.0	1.9		0	7	5	8
Lactobacillus acidophilus	137	0	0.0	0.0	2.7		0	15	13	15
Lactobacillus delbrueckii	200	0	0.0	0.0	1.9		0	11	5	15
Lactobacillus gasseri	164	0	0.0	0.0	2.3		0	12	10	17
Lacticaseibacillus paracasei	200	0	0.0	0.0	1.9		0	19	14	25
Lactobacillus helveticus	200	0	0.0	0.0	1.9		0	9	6	13
Bifidobacterium animalis	200	0	0.0	0.0	1.9		0	16	13	19
Lactiplantibacillus plantarum	1521	0	0.0	0.0	0.3		0	19	12	24
Bifidobacterium breve	200	0	0.0	0.0	1.9		0	26.5	20	34
Bifidobacterium bifidum	200	0	0.0	0.0	1.9		0	24	21	26
Lacticaseibacillus casei	33	0	0.0	0.0	10.4		0	21	20	30
