accession	organism	strain	level	biosample	isolation_source
GCF_009913655.1	Lactiplantibacillus plantarum	SRCM100442	Complete Genome	SAMN08707598	
GCF_014131735.1	Lactiplantibacillus plantarum	DSM 20174	Complete Genome	SAMN11357169	
GCF_004730965.1	Lactiplantibacillus plantarum	UNQLp11	Complete Genome	SAMN09692902	
GCF_057815115.1	Lactiplantibacillus plantarum	MOIA PANSUNG_MP49	Complete Genome	SAMN60249627	
GCF_059547555.1	Lactiplantibacillus plantarum		Complete Genome	SAMN61118679	
GCF_001704335.1	Lactiplantibacillus plantarum	DF	Complete Genome	SAMN04346870	
GCF_001704315.1	Lactiplantibacillus plantarum	KP	Complete Genome	SAMN04346869	
GCF_002290185.1	Lactiplantibacillus plantarum	BDGP2	Complete Genome	SAMN07593867	
GCF_049241955.1	Lactiplantibacillus plantarum	BLP3	Complete Genome	SAMN47502531	
GCF_029855105.1	Lactiplantibacillus plantarum	DMC-S1	Complete Genome	SAMN34217994	
GCF_057736435.1	Lactiplantibacillus plantarum	N4	Complete Genome	SAMN59996916	
GCF_052692365.1	Lactiplantibacillus plantarum	MTY101	Complete Genome	SAMN51235226	
GCF_001672035.1	Lactiplantibacillus plantarum	NCU116	Complete Genome	SAMN05162259	
GCF_013487805.1	Lactiplantibacillus plantarum	BK-021	Complete Genome	SAMN11650980	
GCF_057786755.1	Lactiplantibacillus plantarum		Complete Genome	SAMN60283860	
GCF_030253605.1	Lactiplantibacillus plantarum	YY-112	Complete Genome	SAMN35562085	
GCF_002576835.1	Lactiplantibacillus plantarum	PC520	Complete Genome	SAMN07760023	
GCF_039725565.1	Lactiplantibacillus plantarum	DMDL 9010	Complete Genome	SAMN10081750	
GCF_041531555.1	Lactiplantibacillus plantarum	G2Lp	Complete Genome	SAMN43083517	
GCF_013155145.1	Lactiplantibacillus plantarum	CNEI-KCA4	Complete Genome	SAMN14941080	
GCF_003345375.1	Lactiplantibacillus plantarum	TMW 1.1478	Complete Genome	SAMN07236647	
GCF_002220175.1	Lactiplantibacillus plantarum	dm	Complete Genome	SAMN06855883	
GCF_056175105.1	Lactiplantibacillus plantarum	SLpl002	Complete Genome	SAMN56485178	
GCF_023973045.1	Lactiplantibacillus plantarum	Z.6-1	Complete Genome	SAMN29205640	
GCF_044590115.1	Lactiplantibacillus plantarum	NMGL2	Complete Genome	SAMN44480978	
GCF_009762745.1	Lactiplantibacillus plantarum	8P-A3	Complete Genome	SAMN13520994	
GCF_049177205.1	Lactiplantibacillus plantarum	W32	Complete Genome	SAMN47237039	
GCF_028869445.1	Lactiplantibacillus plantarum	VHProbi V22	Complete Genome	SAMN27397807	
GCF_025144505.1	Lactiplantibacillus plantarum	HMX2	Complete Genome	SAMN24967839	
GCF_049477935.1	Lactiplantibacillus plantarum	DH24	Complete Genome	SAMN42567014	
GCF_058135485.1	Lactiplantibacillus plantarum	M3.3	Complete Genome	SAMN60057454	
GCF_002868775.1	Lactiplantibacillus plantarum	K259	Complete Genome	SAMN08274873	
GCF_002005385.2	Lactiplantibacillus plantarum	10CH	Complete Genome	SAMN06311425	
GCF_057418965.1	Lactiplantibacillus plantarum	AR171	Complete Genome	SAMN40697541	
GCF_036255815.1	Lactiplantibacillus plantarum	ZX028	Complete Genome	SAMN39328092	
GCF_017798305.1	Lactiplantibacillus plantarum	NCIMB8826	Complete Genome	SAMN11128907	
GCF_049330845.1	Lactiplantibacillus plantarum	kfsvi1	Complete Genome	SAMN46438102	
GCF_015693925.1	Lactiplantibacillus plantarum	ZDY2013	Complete Genome	SAMN16814808	
GCF_029814785.1	Lactiplantibacillus plantarum	WLPL21	Complete Genome	SAMN34136147	
GCF_029834415.1	Lactiplantibacillus plantarum	ZDY04	Complete Genome	SAMN34152068	
GCF_027557615.1	Lactiplantibacillus plantarum	FLPL05	Complete Genome	SAMN13255727	
GCF_059621345.1	Lactiplantibacillus plantarum	COC6726	Complete Genome	SAMN61421507	
GCF_026153115.1	Lactiplantibacillus plantarum	L55	Complete Genome	SAMN31433308	
GCF_004103495.1	Lactiplantibacillus plantarum	SRCM103472	Complete Genome	SAMN10754018	
GCF_004103515.1	Lactiplantibacillus plantarum	SRCM103473	Complete Genome	SAMN10754056	
GCF_031597175.1	Lactiplantibacillus plantarum	VHProbi QSH01	Complete Genome	SAMN37344986	
GCF_057785035.1	Lactiplantibacillus plantarum	25	Complete Genome	SAMN56815407	
GCF_030297695.1	Lactiplantibacillus plantarum	IYO2065	Complete Genome	SAMD00599669	
GCF_010586945.1	Lactiplantibacillus plantarum	202195	Complete Genome	SAMN11618740	
GCF_055234055.1	Lactiplantibacillus plantarum	GL4	Complete Genome	SAMN54895824	
GCF_018351295.1	Lactiplantibacillus plantarum	ATCC 202195	Complete Genome	SAMN14169821	
GCF_058134955.1	Lactiplantibacillus plantarum	UFLA CH1	Complete Genome	SAMN60441136	
GCF_058134785.1	Lactiplantibacillus plantarum	UFLA CH3	Complete Genome	SAMN60441137	
GCF_058134795.1	Lactiplantibacillus plantarum	UFLA CH31	Complete Genome	SAMN60441139	
GCF_020881935.1	Lactiplantibacillus plantarum	ZW5	Complete Genome	SAMN22871635	
GCF_002948215.1	Lactiplantibacillus plantarum	KC28	Complete Genome	SAMN08512091	
GCF_016812075.1	Lactiplantibacillus plantarum	CXG9	Complete Genome	SAMN17601126	
GCF_051557165.1	Lactiplantibacillus plantarum	NX87	Complete Genome	SAMN49831394	
GCF_029542245.1	Lactiplantibacillus plantarum	EN6	Complete Genome	SAMN32424931	
GCF_035338015.1	Lactiplantibacillus plantarum	CYLB561	Complete Genome	SAMN38691421	
GCF_038592865.1	Lactiplantibacillus plantarum	CS3	Complete Genome	SAMN41014341	
GCF_058134515.1	Lactiplantibacillus plantarum	UFLA SAU96	Complete Genome	SAMN60441142	
GCF_035336205.1	Lactiplantibacillus plantarum	CYLB101	Complete Genome	SAMN38691420	
GCF_002109425.1	Lactiplantibacillus plantarum	LP2	Complete Genome	SAMN06756312	
GCF_000931425.2	Lactiplantibacillus plantarum	B21	Complete Genome	SAMN03278695	
GCF_037099845.1	Lactiplantibacillus plantarum	DS1989	Complete Genome	SAMN40243341	
GCF_004101505.1	Lactiplantibacillus plantarum	SRCM103357	Complete Genome	SAMN10742635	
GCF_057074005.1	Lactiplantibacillus plantarum	P87	Complete Genome	SAMN41278822	
GCF_026976315.1	Lactiplantibacillus plantarum	SRCM101587	Complete Genome	SAMN31762478	
GCF_023348385.1	Lactiplantibacillus plantarum	LPC904	Complete Genome	SAMN24805850	
GCF_035588615.1	Lactiplantibacillus plantarum	NCHBL-004	Complete Genome	SAMN38985435	
GCF_023348525.1	Lactiplantibacillus plantarum	LPT52	Complete Genome	SAMN24806561	
GCF_032920365.1	Lactiplantibacillus plantarum	MSJK0048	Complete Genome	SAMN37344045	
GCF_047277305.1	Lactiplantibacillus plantarum	ZJ316PV	Complete Genome	SAMN46300976	
GCF_036259715.1	Lactiplantibacillus plantarum	VHProbi M25	Complete Genome	SAMN39437242	
GCF_003589725.1	Lactiplantibacillus plantarum	ZFM55	Complete Genome	SAMN07305427	
GCF_054918155.1	Lactiplantibacillus plantarum	ZJY-2	Complete Genome	SAMN54972853	
GCF_003966855.1	Lactiplantibacillus plantarum	SN35N	Complete Genome	SAMD00097254	
GCF_038743365.1	Lactiplantibacillus plantarum	HOM2217	Complete Genome	SAMN41038019	
GCF_013367715.1	Lactiplantibacillus plantarum	Heal19	Complete Genome	SAMN14600802	
GCF_026013765.1	Lactiplantibacillus plantarum	E2	Complete Genome	SAMN31455228	
GCF_031348585.1	Lactiplantibacillus plantarum	KCKM 0597	Complete Genome	SAMN37256207	
GCF_058066585.1	Lactiplantibacillus plantarum	NR1-7	Complete Genome	SAMN60149979	
GCF_024969905.1	Lactiplantibacillus plantarum	SRCM210465	Complete Genome	SAMN30551690	
GCF_024800605.1	Lactiplantibacillus plantarum	SRCM210459	Complete Genome	SAMN30472540	
GCF_001596095.1	Lactiplantibacillus plantarum	JBE245	Complete Genome	SAMN04517536	
GCF_058134565.1	Lactiplantibacillus plantarum	UCPH LP6	Complete Genome	SAMN60441128	
GCF_040745055.1	Lactiplantibacillus plantarum	CMTB-TF1	Complete Genome	SAMN42358598	
GCF_982554065.1	Lactiplantibacillus plantarum		Complete Genome	SAMEA122031764	
GCF_029590535.1	Lactiplantibacillus plantarum	ZFM518	Complete Genome	SAMN33923134	
GCF_003627335.1	Lactiplantibacillus plantarum	ZFM9	Complete Genome	SAMN07303085	
GCF_001484005.1	Lactiplantibacillus plantarum	LZ95	Complete Genome	SAMN03854682	
GCF_049990875.1	Lactiplantibacillus plantarum	R26	Complete Genome	SAMN48064186	
GCF_029854235.1	Lactiplantibacillus plantarum	MA2	Complete Genome	SAMN34153834	
GCF_037414485.1	Lactiplantibacillus plantarum	DS1073	Complete Genome	SAMN40243297	
GCF_031432955.1	Lactiplantibacillus plantarum	KCKM 0112	Complete Genome	SAMN37235548	
GCF_037414405.1	Lactiplantibacillus plantarum	CUDS1073	Complete Genome	SAMN40277699	
GCF_002286275.1	Lactiplantibacillus plantarum	LP3	Complete Genome	SAMN05631073	
GCF_964065445.1	Lactiplantibacillus plantarum		Complete Genome	SAMEA115434240	
GCF_056739195.1	Lactiplantibacillus plantarum	dy-1	Complete Genome	SAMN19553177	
GCF_023207995.1	Lactiplantibacillus plantarum	LP-F1	Complete Genome	SAMN14572866	
GCF_050613195.1	Lactiplantibacillus plantarum	ELPL27	Complete Genome	SAMN48667494	
GCF_026240755.1	Lactiplantibacillus plantarum	Y42	Complete Genome	SAMN31706071	
GCF_058091815.1	Lactiplantibacillus plantarum	DPUL-F232	Complete Genome	SAMN60535399	
GCF_056821015.1	Lactiplantibacillus plantarum	HP-B1718	Complete Genome	SAMN54269387	
GCF_017301935.1	Lactiplantibacillus plantarum	12	Complete Genome	SAMN13495976	
GCF_039954855.1	Lactiplantibacillus plantarum	AHQ-14	Complete Genome	SAMN41274413	
GCF_025723165.1	Lactiplantibacillus plantarum	BF_15	Complete Genome	SAMN23674217	
GCF_030297735.1	Lactiplantibacillus plantarum	AWA2045	Complete Genome	SAMD00599671	
GCF_024969715.1	Lactiplantibacillus plantarum	SRCM210576	Complete Genome	SAMN30551707	
GCF_024970125.1	Lactiplantibacillus plantarum	SRCM210579	Complete Genome	SAMN30552012	
GCF_024970145.1	Lactiplantibacillus plantarum	SRCM210580	Complete Genome	SAMN30552018	
GCF_007833595.1	Lactiplantibacillus plantarum	Y44	Complete Genome	SAMN09487401	
GCF_021560135.1	Lactiplantibacillus plantarum	W2	Complete Genome	SAMN25008410	
GCF_001617525.2	Lactiplantibacillus plantarum	CAUH2	Complete Genome	SAMN04549363	
GCF_056618465.1	Lactiplantibacillus plantarum	BIM B-404D	Complete Genome	SAMN53287262	
GCF_055809795.1	Lactiplantibacillus plantarum	KCTC 33133	Complete Genome	SAMN52863548	
GCF_002173655.1	Lactiplantibacillus plantarum	SRCM102022	Complete Genome	SAMN07125944	
