species	n	tyrDC_present	prevalence_wilson	ambiguous	conservative_upper	GH_median
Lactiplantibacillus plantarum	1521	0	0/1521 — 0%, 95% 상한 0.25%	0	0/1521 — 0%, 95% 상한 0.25%	17
Enterococcus faecalis	201	194	194/201 — 96.517% [92.987–98.303%]	0	194/201 — 96.517% [92.987–98.303%]	31
Bifidobacterium longum	200	0	0/200 — 0%, 95% 상한 1.88%	0	0/200 — 0%, 95% 상한 1.88%	27
Lactococcus lactis	200	0	0/200 — 0%, 95% 상한 1.88%	0	0/200 — 0%, 95% 상한 1.88%	20
Ligilactobacillus salivarius	200	0	0/200 — 0%, 95% 상한 1.88%	0	0/200 — 0%, 95% 상한 1.88%	10
Limosilactobacillus reuteri	200	15	15/200 — 7.500% [4.597–12.004%]	13	28/200 — 14.000% [9.867–19.490%]	11
Limosilactobacillus fermentum	200	0	0/200 — 0%, 95% 상한 1.88%	0	0/200 — 0%, 95% 상한 1.88%	8
Lacticaseibacillus rhamnosus	200	0	0/200 — 0%, 95% 상한 1.88%	0	0/200 — 0%, 95% 상한 1.88%	26
Streptococcus thermophilus	200	0	0/200 — 0%, 95% 상한 1.88%	0	0/200 — 0%, 95% 상한 1.88%	6
Lactobacillus delbrueckii	200	0	0/200 — 0%, 95% 상한 1.88%	0	0/200 — 0%, 95% 상한 1.88%	11
Levilactobacillus brevis	200	165	165/200 — 82.500% [76.635–87.140%]	1	166/200 — 83.000% [77.184–87.572%]	14
Pediococcus pentosaceus	200	0	0/200 — 0%, 95% 상한 1.88%	4	4/200 — 2.000% [0.780–5.029%]	11
Lacticaseibacillus paracasei	200	0	0/200 — 0%, 95% 상한 1.88%	0	0/200 — 0%, 95% 상한 1.88%	21
Lactobacillus helveticus	200	0	0/200 — 0%, 95% 상한 1.88%	0	0/200 — 0%, 95% 상한 1.88%	11
Bifidobacterium animalis	200	0	0/200 — 0%, 95% 상한 1.88%	0	0/200 — 0%, 95% 상한 1.88%	15
Bifidobacterium breve	200	0	0/200 — 0%, 95% 상한 1.88%	0	0/200 — 0%, 95% 상한 1.88%	24
Bifidobacterium bifidum	200	0	0/200 — 0%, 95% 상한 1.88%	0	0/200 — 0%, 95% 상한 1.88%	26
Enterococcus faecium	200	196	196/200 — 98.000% [94.971–99.220%]	4	200/200 — 100.000% [98.115–100.000%]	26
Lactobacillus gasseri	164	0	0/164 — 0%, 95% 상한 2.29%	0	0/164 — 0%, 95% 상한 2.29%	14
Lactobacillus acidophilus	137	0	0/137 — 0%, 95% 상한 2.73%	0	0/137 — 0%, 95% 상한 2.73%	18
Latilactobacillus curvatus	117	0	0/117 — 0%, 95% 상한 3.18%	41	41/117 — 35.043% [26.998–44.038%]	8
Lacticaseibacillus casei	33	0	0/33 — 0%, 95% 상한 10.43%	0	0/33 — 0%, 95% 상한 10.43%	26
