accession	n_GH_families	GH_families	all_families	n_cazymes_consensus	n_single_tool_dropped	n_rows_fallback
GCF_000003135.1	27	GH101;GH109;GH112;GH121;GH125;GH127;GH129;GH13;GH172;GH184;GH2;GH20;GH23;GH25;GH27;GH3;GH30;GH31;GH32;GH36;GH38;GH42;GH43;GH5;GH51;GH77;GH85	CBM13;CBM22;CBM32;CBM48;CBM6;CBM91;CE8;CE9;GH101;GH109;GH112;GH121;GH125;GH127;GH129;GH13;GH172;GH184;GH2;GH20;GH23;GH25;GH27;GH3;GH30;GH31;GH32;GH36;GH38;GH42;GH43;GH5;GH51;GH77;GH85;GT119;GT2;GT28;GT35;GT4;GT51	86	53	0
GCF_000006865.1	17	GH1;GH125;GH13;GH170;GH18;GH2;GH20;GH23;GH25;GH3;GH31;GH38;GH43;GH65;GH73;GH85;GH92	AA10;CBM32;CBM34;CBM5;CBM50;CBM91;CE4;CE9;GH1;GH125;GH13;GH170;GH18;GH2;GH20;GH23;GH25;GH3;GH31;GH38;GH43;GH65;GH73;GH85;GH92;GT119;GT2;GT28;GT35;GT4;GT5;GT51	69	65	0
GCF_000007525.1	26	GH101;GH109;GH112;GH121;GH125;GH127;GH129;GH13;GH184;GH2;GH20;GH23;GH27;GH3;GH30;GH31;GH32;GH36;GH38;GH42;GH43;GH5;GH51;GH53;GH77;GH85	CBM13;CBM22;CBM32;CBM48;CBM6;CBM61;CBM91;CE9;GH101;GH109;GH112;GH121;GH125;GH127;GH129;GH13;GH184;GH2;GH20;GH23;GH27;GH3;GH30;GH31;GH32;GH36;GH38;GH42;GH43;GH5;GH51;GH53;GH77;GH85;GT119;GT2;GT28;GT35;GT4;GT51	76	48	0
GCF_000007785.1	27	GH1;GH101;GH105;GH109;GH125;GH126;GH13;GH136;GH154;GH170;GH18;GH2;GH20;GH23;GH25;GH3;GH31;GH32;GH35;GH38;GH4;GH63;GH65;GH73;GH88;GH92;GH94	AA10;CBM32;CBM34;CBM50;CE1;CE4;CE7;CE9;GH1;GH101;GH105;GH109;GH125;GH126;GH13;GH136;GH154;GH170;GH18;GH2;GH20;GH23;GH25;GH3;GH31;GH32;GH35;GH38;GH4;GH63;GH65;GH73;GH88;GH92;GH94;GT119;GT2;GT26;GT28;GT4;GT51;GT8;PL12;PL8	104	101	0
GCF_000008925.1	10	GH126;GH13;GH2;GH23;GH25;GH3;GH32;GH36;GH65;GH73	CBM34;CBM48;CBM50;CE4;CE9;GH126;GH13;GH2;GH23;GH25;GH3;GH32;GH36;GH65;GH73;GT111;GT113;GT119;GT125;GT14;GT2;GT26;GT28;GT32;GT35;GT4;GT5;GT51	65	81	0
GCF_000008945.1	28	GH101;GH109;GH112;GH120;GH125;GH127;GH129;GH13;GH172;GH184;GH2;GH20;GH23;GH25;GH27;GH3;GH30;GH31;GH32;GH36;GH38;GH42;GH43;GH5;GH51;GH53;GH77;GH85	CBM13;CBM22;CBM32;CBM48;CBM50;CBM6;CBM61;CBM91;CE9;GH101;GH109;GH112;GH120;GH125;GH127;GH129;GH13;GH172;GH184;GH2;GH20;GH23;GH25;GH27;GH3;GH30;GH31;GH32;GH36;GH38;GH42;GH43;GH5;GH51;GH53;GH77;GH85;GT119;GT2;GT28;GT35;GT4;GT51;PL27	84	52	0
GCF_000010005.1	11	GH13;GH2;GH23;GH31;GH36;GH42;GH53;GH65;GH70;GH73;GH8	CBM34;CBM50;GH13;GH2;GH23;GH31;GH36;GH42;GH53;GH65;GH70;GH73;GH8;GT111;GT113;GT119;GT125;GT2;GT28;GT4;GT51;GT8	46	61	0
GCF_000010145.1	10	GH13;GH2;GH23;GH25;GH32;GH36;GH42;GH43;GH65;GH73	CBM50;CBM91;GH13;GH2;GH23;GH25;GH32;GH36;GH42;GH43;GH65;GH73;GT111;GT119;GT125;GT2;GT28;GT4;GT51	36	73	0
GCF_000011045.1	21	GH1;GH109;GH125;GH13;GH170;GH2;GH23;GH25;GH29;GH3;GH31;GH32;GH35;GH36;GH38;GH39;GH4;GH59;GH65;GH73;GH78	AA1;CBM32;CBM34;CBM48;CBM50;CBM67;CE1;CE4;CE9;GH1;GH109;GH125;GH13;GH170;GH2;GH23;GH25;GH29;GH3;GH31;GH32;GH35;GH36;GH38;GH39;GH4;GH59;GH65;GH73;GH78;GT111;GT113;GT119;GT125;GT2;GT28;GT35;GT4;GT5;GT51;GT8;GT83	83	82	0
GCF_000011825.1	7	GH13;GH2;GH23;GH25;GH32;GH73;GH77	CBM50;CE1;CE4;CE9;GH13;GH2;GH23;GH25;GH32;GH73;GH77;GT1;GT11;GT119;GT14;GT2;GT28;GT32;GT35;GT4;GT51;GT8	38	58	0
GCF_000011845.1	7	GH13;GH2;GH23;GH25;GH32;GH73;GH77	CBM50;CE1;CE4;CE9;GH13;GH2;GH23;GH25;GH32;GH73;GH77;GT119;GT122;GT14;GT2;GT28;GT35;GT4;GT51;GT8	39	53	0
GCF_000011985.1	15	GH1;GH13;GH140;GH170;GH2;GH25;GH31;GH32;GH36;GH4;GH42;GH65;GH73;GH78;GH8	CBM32;CBM34;CBM41;CBM48;CBM67;CE9;GH1;GH13;GH140;GH170;GH2;GH25;GH31;GH32;GH36;GH4;GH42;GH65;GH73;GH78;GH8;GT111;GT119;GT131;GT2;GT26;GT28;GT32;GT35;GT4;GT5;GT51;GT8	66	68	0
GCF_000014405.1	6	GH13;GH18;GH2;GH25;GH31;GH73	CBM32;CBM50;CE9;GH13;GH18;GH2;GH25;GH31;GH73;GT1;GT111;GT119;GT122;GT14;GT2;GT26;GT28;GT32;GT4;GT51;GT8	37	56	0
GCF_000014425.1	11	GH1;GH13;GH170;GH25;GH3;GH31;GH32;GH36;GH65;GH73;GH8	CBM32;CBM34;CE9;GH1;GH13;GH170;GH25;GH3;GH31;GH32;GH36;GH65;GH73;GH8;GT1;GT11;GT113;GT119;GT125;GT2;GT26;GT28;GT32;GT4;GT51;GT8	55	62	0
GCF_000014465.1	13	GH1;GH13;GH2;GH25;GH3;GH30;GH31;GH36;GH43;GH51;GH65;GH73;GH8	CBM50;CBM91;CE4;CE9;GH1;GH13;GH2;GH25;GH3;GH30;GH31;GH36;GH43;GH51;GH65;GH73;GH8;GT119;GT2;GT26;GT28;GT4;GT51	45	91	0
GCF_000014485.1	7	GH13;GH2;GH23;GH25;GH32;GH73;GH77	CBM50;CE1;CE4;CE9;GH13;GH2;GH23;GH25;GH32;GH73;GH77;GT1;GT119;GT125;GT2;GT28;GT35;GT4;GT51;GT8	44	58	0
GCF_000014505.1	15	GH1;GH123;GH126;GH127;GH13;GH170;GH188;GH2;GH23;GH25;GH31;GH32;GH36;GH65;GH73	CBM50;CE2;CE20;CE9;GH1;GH123;GH126;GH127;GH13;GH170;GH188;GH2;GH23;GH25;GH31;GH32;GH36;GH65;GH73;GT111;GT113;GT119;GT125;GT2;GT26;GT28;GT4;GT51;GT8	57	73	0
