assembly	determinants_detected	mobile_adjacent_5kb	mobile_adjacent_10kb	pre_gate_call
GCF_000007785.1	53	16	21	FAIL (transferable)
GCF_001720945.1	26	22	22	FAIL (transferable)
GCF_002007625.1	21	13	15	FAIL (transferable)
GCF_006494835.1	48	11	16	FAIL (transferable)
GCF_006494855.1	48	11	16	FAIL (transferable)
GCF_009697285.1	22	16	18	FAIL (transferable)
GCF_009734005.1	16	8	10	FAIL (transferable)
GCF_018986755.2	54	23	28	FAIL (transferable)
GCF_019977575.1	20	14	18	FAIL (transferable)
GCF_021610105.1	48	15	23	FAIL (transferable)
GCF_022869705.1	20	4	6	FAIL (transferable)
GCF_028131645.1	47	18	25	FAIL (transferable)
GCF_029023785.1	8	2	2	FAIL (transferable)
GCF_029024925.1	20	4	6	FAIL (transferable)
GCF_050485045.1	48	16	20	FAIL (transferable)
GCF_050485055.1	46	14	18	FAIL (transferable)
GCF_050485625.1	50	19	23	FAIL (transferable)
GCF_050485635.1	50	19	23	FAIL (transferable)
GCF_055814325.1	44	14	18	FAIL (transferable)
GCF_056485845.1	23	17	22	FAIL (transferable)
GCF_056485875.1	23	17	22	FAIL (transferable)
GCF_056485905.1	23	17	19	FAIL (transferable)
GCF_056485925.1	24	18	20	FAIL (transferable)
GCF_900639535.1	19	13	15	FAIL (transferable)
GCF_900639715.1	21	15	17	FAIL (transferable)
