assembly	protein	gene_product	database	contig	coordinates	nearest_mobile_element_bp	mobile_adjacent_5kb	mobile_adjacent_10kb	context_call_10kb	adjacent_mobile_features
GCF_000007785.1	WP_001028144.1	bifunctional aminoglycoside N-acetyltransferase AAC(6')-Ie/aminoglycoside O-phosphotransferase APH(2'')-Ia	CARD	NC_004669.1	49141-50580	130	1	1	MOBILE-ADJACENT	IS256-like element IS256 family transposase; IS6-like element IS1216 family transposase; type IV conjugative transfer system protein TraE
GCF_000007785.1	WP_001038790.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	CARD	NC_004669.1	6333-7070	208	1	1	MOBILE-ADJACENT	IS6-like element IS1216 family transposase; TraB family protein; conjugal transfer protein TraA
GCF_000007785.1	WP_002358140.1	multidrug efflux MFS transporter EmeA	CARD	NC_004668.1	1048290-1049444	70681	0	0	no mobile element within 10 kb	
GCF_000007785.1	WP_002360302.1	trimethoprim-sensitive dihydrofolate reductase	CARD	NC_004668.1	1530013-1530507	37033	0	0	no mobile element within 10 kb	
GCF_000007785.1	WP_002368685.1	D-Ala-D-Ala dipeptidase VanX	CARD	NC_004668.1	2212353-2212961	5780	0	1	MOBILE-ADJACENT	
GCF_000007785.1	WP_002368691.1	D-alanine--(R)-lactate ligase VanB	CARD	NC_004668.1	2212967-2213995	6071	0	1	MOBILE-ADJACENT	
GCF_000007785.1	WP_002368693.1	D-lactate dehydrogenase VanH	CARD	NC_004668.1	2213988-2214959	5107	0	1	MOBILE-ADJACENT	
GCF_000007785.1	WP_002368694.1	glycopeptide resistance accessory protein VanW-B	CARD	NC_004668.1	2214956-2215783	4283	1	1	MOBILE-ADJACENT	relaxase/mobilization nuclease domain-containing protein
GCF_000007785.1	WP_002368695.1	D-Ala-D-Ala carboxypeptidase VanY-B	CARD	NC_004668.1	2215801-2216607	3459	1	1	MOBILE-ADJACENT	relaxase/mobilization nuclease domain-containing protein
GCF_000007785.1	WP_002368696.1	vancomycin resistance histidine kinase VanS-B	CARD	NC_004668.1	2216783-2218126	1940	1	1	MOBILE-ADJACENT	plasmid mobilization protein; relaxase/mobilization nuclease domain-containing protein
GCF_000007785.1	WP_002368697.1	vancomycin resistance response regulator transcription factor VanR-B	CARD	NC_004668.1	2218126-2218788	1278	1	1	MOBILE-ADJACENT	plasmid mobilization protein; relaxase/mobilization nuclease domain-containing protein
GCF_000007785.1	WP_002387187.1	ABC-F type ribosomal protection protein Lsa(A)	CARD	NC_004668.1	2631164-2632660	68669	0	0	no mobile element within 10 kb	
GCF_000007785.1	WP_002387312.1	multidrug efflux ABC transporter subunit EfrA	CARD	NC_004668.1	2798453-2800180	28229	0	0	no mobile element within 10 kb	
GCF_000007785.1	WP_002387383.1	serine/threonine protein kinase IreK	CARD	NC_004668.1	2994908-2997064	18030	0	0	no mobile element within 10 kb	
GCF_000007785.1	WP_010730188.1	quaternary ammonium compound efflux SMR transporter QacH	CARD	NC_004669.1	8712-9035	449	1	1	MOBILE-ADJACENT	IS6 family transposase; IS6-like element IS1216 family transposase; conjugal transfer protein TraA
GCF_000007785.1	WP_002355633.1	ATP-dependent Clp endopeptidase proteolytic subunit ClpP	VFDB	NC_004668.1	730237-730830	154688	0	0	no mobile element within 10 kb	
GCF_000007785.1	WP_002356954.1	Mn/Fe ABC transporter substrate-binding lipoprotein EfaA	VFDB	NC_004668.1	1996629-1997555	34144	0	0	no mobile element within 10 kb	
GCF_000007785.1	WP_002357513.1	BMC domain-containing protein	VFDB	NC_004668.1	1580187-1580477	19594	0	0	no mobile element within 10 kb	
GCF_000007785.1	WP_002358181.1	lanthipeptide cytolysin subunit CylL-S	VFDB	NC_004668.1	484860-485051	1669	1	1	MOBILE-ADJACENT	IS256-like element IS256 family transposase; IS6 family transposase
GCF_000007785.1	WP_002358485.1	lanthipeptide cytolysin subunit CylL-L	VFDB	NC_004668.1	484620-484826	1429	1	1	MOBILE-ADJACENT	IS256-like element IS256 family transposase; IS6 family transposase
GCF_000007785.1	WP_002359680.1	phosphatidate cytidylyltransferase	VFDB	NC_004668.1	2419136-2419936	24792	0	0	no mobile element within 10 kb	
GCF_000007785.1	WP_002359685.1	UDP-N-acetylmuramate dehydrogenase	VFDB	NC_004668.1	2410074-2412527	32201	0	0	no mobile element within 10 kb	
GCF_000007785.1	WP_002362225.1	undecaprenyl pyrophosphate synthase	VFDB	NC_004668.1	2419933-2420748	23980	0	0	no mobile element within 10 kb	
GCF_000007785.1	WP_002362618.1	CDP-glycerol glycerophosphotransferase family protein	VFDB	NC_004668.1	2417494-2418663	26065	0	0	no mobile element within 10 kb	
GCF_000007785.1	WP_002362627.1	ABC transporter permease	VFDB	NC_004668.1	2406279-2407091	37637	0	0	no mobile element within 10 kb	
GCF_000007785.1	WP_002367100.1	casular polysaccharide biosynthesis protein CpsF	VFDB	NC_004668.1	2412554-2413405	31323	0	0	no mobile element within 10 kb	
GCF_000007785.1	WP_002369215.1	fibrinogen-binding MSCRAMM adhesin Fss3	VFDB	NC_004668.1	1838713-1841940	6450	0	1	MOBILE-ADJACENT	
GCF_000007785.1	WP_002369249.1	quorum-sensing system protein FsrB	VFDB	NC_004668.1	1766068-1766796	26232	0	0	no mobile element within 10 kb	
GCF_000007785.1	WP_002369251.1	gelatinase GelE	VFDB	NC_004668.1	1762961-1764493	28535	0	0	no mobile element within 10 kb	
GCF_000007785.1	WP_002369252.1	serine proteinase SprE	VFDB	NC_004668.1	1762058-1762912	30116	0	0	no mobile element within 10 kb	
GCF_000007785.1	WP_002370235.1	LPXTG-anchored aggregation substance	VFDB;VFDB;VFDB;VFDB	NC_004668.1	450218-454123	3767	1	1	MOBILE-ADJACENT	tyrosine-type recombinase/integrase
GCF_000007785.1	WP_002370472.1	glycosyltransferase family A protein	VFDB	NC_004668.1	2416009-2417475	27253	0	0	no mobile element within 10 kb	
GCF_000007785.1	WP_002370929.1	type 2 lanthipeptide synthetase LanM family protein	VFDB	NC_004668.1	485112-488093	910	1	1	MOBILE-ADJACENT	IS256-like element IS256 family transposase; IS30 family transposase; IS6 family transposase
GCF_000007785.1	WP_002370931.1	cytolysin regulator CylR2	VFDB	NC_004668.1	484016-484216	825	1	1	MOBILE-ADJACENT	IS256-like element IS256 family transposase; IS6 family transposase
GCF_000007785.1	WP_002376666.1	UDP-galactopyranose mutase	VFDB	NC_004668.1	2408460-2409599	35129	0	0	no mobile element within 10 kb	
GCF_000007785.1	WP_002379309.1	endocarditis and biofilm-associated pilus minor subunit EbpB	VFDB	NC_004668.1	1060702-1062132	57993	0	0	no mobile element within 10 kb	
GCF_000007785.1	WP_002379311.1	Ebp pilus assembly class C sortase	VFDB	NC_004668.1	1064100-1064954	55171	0	0	no mobile element within 10 kb	
GCF_000007785.1	WP_002386893.1	GHKL domain-containing protein, partial	VFDB	NC_004668.1	1764728-1766071	26957	0	0	no mobile element within 10 kb	
GCF_000007785.1	WP_002387027.1	LacI family transcriptional regulator BopD	VFDB	NC_004668.1	915924-916934	203191	0	0	no mobile element within 10 kb	
GCF_000007785.1	WP_002387127.1	ATP-binding cassette domain-containing protein	VFDB	NC_004668.1	2407091-2408476	36252	0	0	no mobile element within 10 kb	
GCF_000007785.1	WP_002387128.1	lipoprotein CpsH	VFDB	NC_004668.1	2409658-2410056	34672	0	0	no mobile element within 10 kb	
GCF_000007785.1	WP_002387129.1	glycosyltransferase family 2 protein	VFDB	NC_004668.1	2413429-2415939	28789	0	0	no mobile element within 10 kb	
GCF_000007785.1	WP_002395058.1	LPXTG-anchored aggregation substance PrgB/Asc10	VFDB;VFDB;VFDB;VFDB	NC_004671.1	9960-13877	4406	1	1	MOBILE-ADJACENT	type IV secretion system protein
GCF_000007785.1	WP_002399773.1	hyaluronate lyase HylB	VFDB	NC_004668.1	779877-782891	204328	0	0	no mobile element within 10 kb	
GCF_000007785.1	WP_010714416.1	collagen-binding MSCRAMM adhesin Ace	VFDB	NC_004668.1	1068036-1070060	50065	0	0	no mobile element within 10 kb	
GCF_000007785.1	WP_010774166.1	cysteine peptidase family C39 domain-containing protein	VFDB	NC_004668.1	488105-488917	86	1	1	MOBILE-ADJACENT	IS256-like element IS256 family transposase; IS30 family transposase; IS6 family transposase
GCF_000007785.1	WP_010774232.1	fibrinogen-binding MSCRAMM adhesin Fss3	VFDB	NC_004668.1	2266768-2269992	5715	0	1	MOBILE-ADJACENT	
GCF_000007785.1	WP_010785625.1	LPXTG-anchored aggregation substance Asa1	VFDB;VFDB;VFDB	NC_004669.1	35117-39007	4809	1	1	MOBILE-ADJACENT	type IV conjugative transfer system protein TraE
GCF_000007785.1	WP_011109430.1	LPXTG-anchored aggregation substance	VFDB;VFDB;VFDB	NC_004668.1	146450-150367	3011	1	1	MOBILE-ADJACENT	
GCF_000007785.1	WP_011109477.1	endocarditis and biofilm-associated pilus major subunit EbpC	VFDB	NC_004668.1	1062129-1064006	56119	0	0	no mobile element within 10 kb	
GCF_000007785.1	WP_011109506.1	response regulator transcription factor FsrA	VFDB	NC_004668.1	1766885-1767616	25412	0	0	no mobile element within 10 kb	
GCF_000007785.1	WP_011109578.1	EF3023 family LPXTG-anchored polysaccharide lyase	VFDB	NC_004668.1	2901752-2905870	69836	0	0	no mobile element within 10 kb	
GCF_000007785.1	WP_154081516.1	endocarditis and biofilm-associated pilus tip protein EbpA	VFDB	NC_004668.1	1057234-1060698	59427	0	0	no mobile element within 10 kb	
GCF_001720945.1	WP_000402348.1	D-Ala-D-Ala dipeptidase VanX-A	CARD;CARD	NZ_CP012431.1	18419-19027	2330	1	1	MOBILE-ADJACENT	IS30 family transposase; ISL3-like element IS1251 family transposase; recombinase family protein
GCF_001720945.1	WP_000516404.1	glycopeptide resistance protein VanZ-A	CARD	NZ_CP012431.1	16442-16927	1806	1	1	MOBILE-ADJACENT	IS256-like element ISEfm2 family transposase; IS30 family transposase; ISL3-like element IS1251 family transposase
GCF_001720945.1	WP_000868795.1	trimethoprim-resistant dihydrofolate reductase DfrG	CARD;CARD	NZ_CP012430.1	2400049-2400546	3499	1	1	MOBILE-ADJACENT	ISL3-like element ISEfa11 family transposase; site-specific integrase
GCF_001720945.1	WP_001028141.1	bifunctional aminoglycoside N-acetyltransferase AAC(6')-Ie/aminoglycoside O-phosphotransferase APH(2'')-Ia	CARD	NZ_CP012430.1	1807046-1808485	130	1	1	MOBILE-ADJACENT	DDE-type integrase/transposase/recombinase; IS110 family transposase; IS256-like element IS256 family transposase
GCF_001720945.1	WP_001038792.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	CARD	NZ_CP012431.1	32401-33138	354	1	1	MOBILE-ADJACENT	IS1182-like element IS1182 family transposase; IS6-like element IS1216 family transposase
GCF_001720945.1	WP_001059542.1	D-lactate dehydrogenase VanH-A	CARD	NZ_CP012431.1	20057-21025	332	1	1	MOBILE-ADJACENT	IS6-like element IS1216 family transposase; ISL3-like element IS1251 family transposase; recombinase family protein
GCF_001720945.1	WP_001079843.1	D-alanine--(R)-lactate ligase VanA	CARD;CARD	NZ_CP012431.1	19033-20064	1293	1	1	MOBILE-ADJACENT	ISL3-like element IS1251 family transposase; recombinase family protein
GCF_001720945.1	WP_001096887.1	aminoglycoside O-phosphotransferase APH(3')-IIIa	CARD	NZ_CP012431.1	26809-27603	848	1	1	MOBILE-ADJACENT	IS1182-like element IS1182 family transposase; IS6-like element IS1216 family transposase; ISL3-like element IS1251 family transposase
GCF_001720945.1	WP_001255866.1	aminoglycoside nucleotidyltransferase ANT(6)-Ia	CARD;CARD	NZ_CP012431.1	28234-29142	2001	1	1	MOBILE-ADJACENT	IS1182-like element IS1182 family transposase; IS6-like element IS1216 family transposase; recombinase family protein
GCF_001720945.1	WP_001280781.1	vancomycin resistance response regulator transcription factor VanR-A	CARD	NZ_CP012431.1	23879-24574	214	1	1	MOBILE-ADJACENT	IS6-like element IS1216 family transposase; ISL3-like element IS1251 family transposase; recombinase family protein
GCF_001720945.1	WP_001812592.1	D-Ala-D-Ala carboxypeptidase VanY-A	CARD	NZ_CP012431.1	17080-17991	2444	1	1	MOBILE-ADJACENT	IS30 family transposase; ISL3-like element IS1251 family transposase; recombinase family protein
